BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING.1
Deepak Chahar,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,67,4,0,22,3,5.5,14,2,1,0,0,
Tushar Deshpande,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,67,4,0,26,1,6.5,12,4,0,1,0,
Maheesh Theekshana,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,67,4,1,23,2,5.75,11,1,1,0,0,
Ravindra Jadeja,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,67,4,0,50,1,12.5,4,3,4,1,0,
Matheesha Pathirana,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,67,4,0,22,2,5.5,11,1,0,5,0,
Harshit Rana,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,3,0,21,1,7,11,3,1,0,0,
Vaibhav Arora,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,4,0,30,2,7.5,9,1,1,3,1,
Varun Chakravarthy,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,4,0,38,1,9.5,10,4,2,0,0,
Nitish Rana,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,1,0,3,0,3,4,0,0,0,0,
Shardul Thakur,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,2,0,27,2,13.5,3,0,3,1,1,
Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,4,0,28,2,7,8,2,1,1,0,
Suyash Sharma,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,1,0,12,0,12,2,1,1,0,0,
Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders vs Lucknow Super Giants ,68,1,0,12,0,12,2,1,1,0,0,
Mohsin Khan,Lucknow Super Giants ,Kolkata Knight Riders vs Lucknow Super Giants ,68,1,0,15,0,15,2,2,1,0,0,
Naveen-ul-Haq,Lucknow Super Giants ,Kolkata Knight Riders vs Lucknow Super Giants ,68,4,0,46,0,11.5,8,6,2,0,0,
Krunal Pandya,Lucknow Super Giants ,Kolkata Knight Riders vs Lucknow Super Giants ,68,4,0,30,1,7.5,9,5,0,0,0,
Krishnappa Gowtham,Lucknow Super Giants ,Kolkata Knight Riders vs Lucknow Super Giants ,68,4,0,26,1,6.5,9,2,0,2,0,
Ravi Bishnoi,Lucknow Super Giants ,Kolkata Knight Riders vs Lucknow Super Giants ,68,4,0,23,2,5.75,10,1,1,0,0,
Yash Thakur,Lucknow Super Giants ,Kolkata Knight Riders vs Lucknow Super Giants ,68,3,0,31,2,10.33,9,1,3,3,0,
Jason Behrendorff,Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,69,3,0,36,0,12,7,4,2,3,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,69,1,0,2,0,2,4,0,0,0,0,
Chris Jordan,Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,69,4,0,42,1,10.5,6,5,1,1,0,
Akash Madhwal,Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,69,4,0,37,4,9.25,7,4,1,0,1,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,69,4,0,39,0,9.75,4,3,2,0,0,
Kumar Kartikeya,Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,69,4,0,39,0,9.75,6,4,1,1,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Mumbai Indians vs Sunrisers Hyderabad ,69,4,0,26,1,6.5,8,3,0,0,0,
Nitish Kumar Reddy,Sunrisers Hyderabad ,Mumbai Indians vs Sunrisers Hyderabad ,69,3,0,35,0,11.66,7,1,4,0,0,
Mayank Dagar,Sunrisers Hyderabad ,Mumbai Indians vs Sunrisers Hyderabad ,69,4,0,37,1,9.25,9,4,2,0,0,
Kartik Tyagi,Sunrisers Hyderabad ,Mumbai Indians vs Sunrisers Hyderabad ,69,2.5,0,41,0,14.47,4,6,1,0,3,
Umran Malik,Sunrisers Hyderabad ,Mumbai Indians vs Sunrisers Hyderabad ,69,3,0,41,0,13.66,3,7,1,0,0,
Vivrant Sharma,Sunrisers Hyderabad ,Mumbai Indians vs Sunrisers Hyderabad ,69,1,0,19,0,19,1,0,2,1,1,
Aiden Markram,Sunrisers Hyderabad ,Mumbai Indians vs Sunrisers Hyderabad ,69,0.1,0,1,0,6,0,0,0,0,0,
Mohammed Shami,Gujarat Titans,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,39,1,9.75,9,7,0,1,0,
Yash Dayal,Gujarat Titans,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,39,1,9.75,7,5,1,0,0,
Rashid Khan,Gujarat Titans,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,24,1,6,5,1,0,0,0,
Noor Ahmad,Gujarat Titans,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,39,2,9.75,6,4,1,2,0,
Mohit Sharma,Gujarat Titans,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,54,0,13.5,2,8,1,2,0,
Mohammed Siraj,Royal Challengers Bangalore,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,32,2,8,11,2,2,2,0,
Wayne Parnell,Royal Challengers Bangalore,Gujarat Titans vs Royal Challengers Bangalore,70,3.1,0,42,0,13.26,7,6,2,1,1,
Vijaykumar Vyshak,Royal Challengers Bangalore,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,40,1,10,6,2,2,2,0,
Himanshu Sharma,Royal Challengers Bangalore,Gujarat Titans vs Royal Challengers Bangalore,70,3,0,28,0,9.33,4,3,1,0,0,
Harshal Patel,Royal Challengers Bangalore,Gujarat Titans vs Royal Challengers Bangalore,70,4,0,29,1,7.25,11,2,1,2,0,
Michael Bracewell,Royal Challengers Bangalore,Gujarat Titans vs Royal Challengers Bangalore,70,1,0,16,0,16,2,0,2,0,0,
